TikTok URL,YouTube URL,Published At,TikTok Description,Current Page,Scraped At
https://www.tiktok.com/@johnvandivier/video/7233108950952971566,https://www.youtube.com/watch?v=p1zOtG2mEWI,05-14-2023 | 02:37 PM,3-5 projects showing full stack #typescript #learning #programming #stem #tech,1,2023-05-14T22:14:48.192Z
https://www.tiktok.com/@johnvandivier/video/7233084303729528107,https://www.youtube.com/watch?v=EdvV1ysEe6Y,05-14-2023 | 01:01 PM,yes CS degrees definitely add value and reduce risk #college #blowthisup #education #stem,1,2023-05-14T22:14:48.192Z
https://www.tiktok.com/@johnvandivier/video/7232826709924498730,https://www.youtube.com/watch?v=Mzv0gl88-bI,05-13-2023 | 08:21 PM,get a linkedin cert for sure!! #certification #careeradvice #programming,1,2023-05-14T22:14:48.192Z
https://www.tiktok.com/@johnvandivier/video/7232764857282514219,https://www.youtube.com/watch?v=NpnCs6Rb5GM,05-13-2023 | 04:21 PM,I do read comments so drop a question and I’ll do my best to answer! #tech #education #learning #programming #opensource,1,2023-05-14T22:14:48.192Z
https://www.tiktok.com/@johnvandivier/video/7232750625321127214,https://www.youtube.com/watch?v=eQk5TzXaDVU,05-13-2023 | 03:26 PM,Grade their answer to the assignment in the comments #chatgpt #lol,1,2023-05-14T22:14:48.192Z
https://www.tiktok.com/@johnvandivier/video/7232742298776423726,https://www.youtube.com/watch?v=3mbTYwNxE_g,05-13-2023 | 02:54 PM,Jewell use it as motivation to 1) cram for the interview and 2) know that you can get an interview again if this doesnt work #career #remotework #interview #jobsearch,1,2023-05-14T22:14:48.192Z
https://www.tiktok.com/@johnvandivier/video/7232737018894126378,https://www.youtube.com/watch?v=5d3Jsk-NeQY,05-13-2023 | 02:33 PM,"JS before TS. Worth it, not easy #careeradvice #anxiety #tech #learning #javascript #typescript #webdeveloper #frontend #programminghumor",1,2023-05-14T22:14:48.192Z
https://www.tiktok.com/@johnvandivier/video/7232686287717731626,https://www.youtube.com/watch?v=9N5l07ee5Y0,05-13-2023 | 11:17 AM,Coding can help you write faster :) #programminghumor #lol,1,2023-05-14T22:14:48.192Z
https://www.tiktok.com/@johnvandivier/video/7232471072266800426,https://www.youtube.com/watch?v=Wz6FkD89eaU,05-12-2023 | 09:21 PM,Got coding? 💻 #remotework #education #learning #stem,1,2023-05-14T22:14:48.192Z
https://www.tiktok.com/@johnvandivier/video/7232285005635013931,https://www.youtube.com/watch?v=tMBaE13kSdg,05-12-2023 | 09:19 AM,Learning to get a job indicates a bit more #ladderly #gethired #careeradvice #tech,1,2023-05-14T22:14:48.192Z
https://www.tiktok.com/@johnvandivier/video/7232096015992737070,,05-11-2023 | 09:06 PM,#lol #memes #tech #corporate,1,2023-05-14T22:14:48.192Z
https://www.tiktok.com/@johnvandivier/video/7231983278998310190,https://www.youtube.com/watch?v=g0ogtI9AYIU,05-11-2023 | 01:49 PM,Give james a follow Q Quick #javascript #webdeveloper #education #science,1,2023-05-14T22:14:48.192Z
https://www.tiktok.com/@johnvandivier/video/7231927587088420139,https://www.youtube.com/watch?v=o95IJ4_jm48,05-11-2023 | 10:13 AM,Focus on your own goals #tech #science #learning #programming #it #stem #greenscreensticker,1,2023-05-14T22:14:48.192Z
https://www.tiktok.com/@johnvandivier/video/7231907266553761067,https://www.youtube.com/watch?v=VIeiyJSOLgs,05-11-2023 | 08:54 AM,Vandivier state management in #reactjs #webdeveloper #javascript #typescript,1,2023-05-14T22:14:48.192Z
https://www.tiktok.com/@johnvandivier/video/7231772703026318634,https://www.youtube.com/watch?v=nQpxOdAB42E,05-11-2023 | 12:11 AM,How yall find the motivation is beyond me #coding #programming #programmerhumor #lol,1,2023-05-14T22:14:48.192Z
https://www.tiktok.com/@johnvandivier/video/7231737971047681323,https://www.youtube.com/watch?v=YIXJMMCKlUY,05-10-2023 | 09:56 PM,Pull up if u want would be cool to see ya #codinglife #reallife #contentcreator #programmer #softwareengineer,1,2023-05-14T22:14:48.192Z
https://www.tiktok.com/@johnvandivier/video/7231720736711396651,https://www.youtube.com/watch?v=3KC8LG9zOao,05-10-2023 | 08:50 PM,can u just be nice? Like wowwie fam #yikes #programmerhumor #remotework,1,2023-05-14T22:14:48.192Z
https://www.tiktok.com/@johnvandivier/video/7231701085986114862,https://www.youtube.com/watch?v=tm3Owe3QBrw,05-10-2023 | 07:33 PM,Its cool bro just tell me #chatgpt #finance #promptengineering,1,2023-05-14T22:14:48.192Z
https://www.tiktok.com/@johnvandivier/video/7231663821461458218,https://www.youtube.com/watch?v=FhEmvQRz4iY,05-10-2023 | 05:09 PM,EASY STEPS not really its actually tough but very pro #careeradvice #remotework #programming,1,2023-05-14T22:14:48.192Z
https://www.tiktok.com/@johnvandivier/video/7231636887335718190,https://www.youtube.com/watch?v=qk77UqYkNfo,05-10-2023 | 03:24 PM,Look! 👀 and network 🔑 #careeradvice #breakintotech #shoutout #reactjs #greenscreensticker,1,2023-05-14T22:14:48.192Z
https://www.tiktok.com/@johnvandivier/video/7231336933916462382,https://www.youtube.com/watch?v=bYNMQuFezcg,05-09-2023 | 08:00 PM,Blue Eyes White Dragon or this boi? #anime #demonslayer #chatgpt #lol #yugioh,1,2023-05-14T22:14:48.192Z
https://www.tiktok.com/@johnvandivier/video/7231275132067581226,https://www.youtube.com/watch?v=ouvQSaTux1c,05-09-2023 | 04:00 PM,Brown creator disagrees with the creation??! 🌶️ #openai #chatgpt #artificialintelligence,1,2023-05-14T22:14:48.192Z
https://www.tiktok.com/@johnvandivier/video/7231271800439721262,https://www.youtube.com/watch?v=0VZqK2KLCm4,05-09-2023 | 03:47 PM,It doesnt work on iphone 😭 #chatgpt #openai #artificialintelligence,1,2023-05-14T22:14:48.192Z
https://www.tiktok.com/@johnvandivier/video/7230876435940953386,https://www.youtube.com/watch?v=bdDNe9W72Eo,05-08-2023 | 02:13 PM,Need a degree 👨‍🎓 to code? Nah #learnfromme #webdevelopment,1,2023-05-14T22:14:48.192Z
https://www.tiktok.com/@johnvandivier/video/7230814152502021422,https://www.youtube.com/watch?v=cjly7BSQ48s,05-08-2023 | 10:12 AM,Hell ya #turtle #lol,1,2023-05-14T22:14:48.192Z
https://www.tiktok.com/@johnvandivier/video/7230813225028275499,https://www.youtube.com/watch?v=8xj0QAdfAZ4,05-08-2023 | 10:08 AM,7 ways coding is actually fun #trust #remotework,2,2023-05-14T22:14:54.469Z
https://www.tiktok.com/@johnvandivier/video/7230802725582179627,,05-08-2023 | 09:27 AM,#monday #coffee #nofilter #letsgo,2,2023-05-14T22:14:54.469Z
